d [cm], Amorphe Igamma [mA], Mono Igamma [mA], Poly Igamma [mA]
82, 4, 154, 100
80, 4, 161, 104
78, 5, 168, 108
76, 5, 174, 113
74, 5, 181, 118
72, 5, 192, 124
70, 5, 200, 130
68, 6, 210, 137
66, 7, 221, 143
64, 7, 232, 151
62, 7, 243, 158
60, 7, 256, 167
58, 8, 271, 176
56, 8, 287, 186
54, 9, 302, 197
52, 9, 321, 209
50, 10, 341, 223
48, 11, 364, 237
46, 11, 387, 253
44, 12, 414, 269
42, 13, 444, 288
40, 14, 476, 308
38, 16, 515, 328
36, 17, 551, 355
34, 18, 596, 383
32, 20, 650, 414
30, 22, 711, 446
28, 24, 762, 479
26, 26, 822, 515
25, 27, 855, 534
24, 29, 884, 555
