t [s],P [mbar],deltaP [mbar]
4,925,10
4.5,890,10
5,860,10
5.5,839,10
6,808,10
6.5,780,10
7,750,10
7.5,722,10
8,702,10
8.5,680,10
9,660,10
9.5,640,10
10,620,10
10.5,600,10
11,580,10
11.5,540,10
12,485,10
12.5,438,10
13,395,10
13.5,360,10
14,320,10
14.5,296,10
15,265,10
15.5,240,10
16,220,10
16.5,200,10
17,184,10
17.5,170,10
18,158,10
18.5,130,10
19,120,10
19.5,115,10
20,105,10
20.5,95,10
22,50,5
24,31,2
26,25,2
28,20,2
30,13,2
32,9,0.5
34,6,0.5
36,4,0.5
38,3,0.5
40,2,0.5
42,1.6,0.25
44,1.2,0.25
46,1.1,0.25
48,0.9,0.05
50,0.72,0.05
52,0.6,0.05
54,0.51,0.05
56,0.45,0.05
58,0.4,0.05
60,0.32,0.05
65,0.25,0.05
70,0.21,0.05
75,0.19,0.025
80,0.15,0.025
91,0.145,0.025
100,0.13,0.025
120,0.11,0.025
150,0.1,0.005
180,0.095,0.005
210,0.089,0.005
240,0.078,0.005
270,0.062,0.005
300,0.059,0.005
330,0.058,0.005
360,0.057,0.005
420,0.04,0.005
480,0.036,0.005
540,0.031,0.005
600,0.03,0.005
660,0.028,0.005
720,0.027,0.005
780,0.026,0.005
