T [°C],P [mbar]
-214.9,12
-214.8,13
-214.7,14
-214.5,15
-214.3,16
-214.1,17
-213.8,18
-213.5,19
-213.2,20
-213,22
-212.5,24
-212,26
-211.7,28
-211.4,30
-211,32
-210.6,35
-210.2,38
-209.9,40
-209.6,42
-209.1,46
-208.7,50
-208.3,53
-207.9,58
-207.6,61
-207.3,64
-206.9,69
-206.5,72
-206.2,77
-206,81
-205.7,84
-205.4,88
-205.1,93
-204.6,100
-204.5,104
-204,108
-203.5,116
-203.2,121
-203,122
-202.6,123
-202.2,124
-201.6,124
-201.2,124
-200.8,124
-200.5,124
-200.3,124
-200,124
-199.4,125
-198.4,125
-197.9,125
-197.3,125
-197,125
-196.5,125
-196,125
-195.5,125
-209.8,126
-209.7,126
-209.9,126
-210.2,140
-209,169
-208.4,186
-207,210
-206.5,233
-206,250
-205.8,269
-205.3,290
-205,305
-204.7,320
-204.3,337
-203.9,350
-203.6,370
-203.2,390
-202.7,420
-202.5,430
-202.2,450
-201.9,469
-201.6,485
-201.4,505
-201.1,530
-200.8,550
-200.6,569
-200.3,590
-200,610
-199.6,634
-199.4,660
-199.3,669
-199,694
-198.7,720
-198.5,740
-198.3,760
-198,795
-197.6,825
-197.2,860
-197,880
-196.9,900
-196.7,920
-196.4,950
-196.2,975
-196,1000
