# Nom, coef pente, ordonnée à l'origine
G1-anneau,0.00867+/-0.00024,-0.2342+/-0.0017
G1-cylindre-acier-argent-chrome,0.03972+/-0.00021,-0.0230+/-0.0012
G1-cylindre-acier-doux,0.04740+/-0.00015,0.0192+/-0.0008
G1-cylindre-alu,0.019027+/-0.000005,0.000694+/-0.000010
G1-cylindre-cuivre,0.018744+/-0.000025,0.002112+/-0.000032
G1-cylindre-laiton,0.019291+/-0.000005,-0.000840+/-0.000007
G1-cylindre-monel400,0.020996+/-0.000012,-0.02600+/-0.00007
G1-cylindre-nickel200,0.021185+/-0.000024,-0.02978+/-0.00013
G1-cylindre-vide,0.019130+/-0.000006,(9.2+/-0.7)e-05
G1-phywe-acdoux-combo,0.0896+/-0.0005,0.0169+/-0.0015
G1-phywe-acdoux,0.07980+/-0.00027,0.0524+/-0.0011
G1-phywe-alu-combo,0.07529+/-0.00006,0.00083+/-0.00004
G1-phywe-alu,0.07436+/-0.00005,0.00336+/-0.00004
G1-phywe-avec-bloc-horiz,0.04399+/-0.00028,-0.0419+/-0.0009
G1-phywe-avec-bloc-penche,0.0579+/-0.0004,-0.0113+/-0.0014
G1-phywe-avec-bloc,0.0904+/-0.0006,0.0109+/-0.0010
G1-phywe-cuivre-combo,0.07587+/-0.00005,-0.00307+/-0.00004
G1-phywe-cuivre,0.074726+/-0.000031,0.000388+/-0.000025
G1-phywe-vide,0.06899+/-0.00008,0.000869+/-0.000008
