M0 [g],M1 [g],m0 [g],m1 [g],Mc [g],T0 [degC],T1 [degC]
0,950,5.25,6.6,3.13333333333333,14.6,30.6
0,908.3,0.08,1.35,3.13333333333333,14.3,30.2
0,799.7,2.03,3.18,3.13333333333333,14,29.8
0,837.8,3.84,4.98,3.13333333333333,13.8,29.3
0,887.9,5.59,6.78,3.13333333333333,13.6,28.7
0,879.2,0.14,1.31,3.13333333333333,13.4,28.2
0,1070.6,2.06,3.45,3.13333333333333,13.1,27.8
0,910,4.06,5.23,3.13333333333333,12.9,27.4
0,979.9,6,7.25,3.13333333333333,12.7,26.8
0,868.9,0.13,1.21,3.13333333333333,12.6,26.7
0,841.3,1.91,2.95,3.13333333333333,12.5,26.4
0,908.8,3.56,4.69,3.13333333333333,12.4,26.2
