Temps [s],Tension [V]
0.02,-3.076101
0.1,-2.262636
0.18,-1.513994
0.26,-0.924232
0.34,-0.500977
0.42,-0.319218
0.5,-0.386583
0.59,-0.711969
0.66,-1.269955
0.74,-2.028765
0.83,-2.90324
0.91,-3.853976
0.99,-4.741161
1.07,-5.508869
1.15,-6.101173
1.23,-6.492653
1.31,-6.638822
1.4,-6.59942
1.48,-6.327418
1.56,-5.852049
1.64,-5.163146
1.72,-4.302653
1.8,-3.358271
1.88,-2.43931
1.96,-1.633472
2.04,-0.986513
2.12,-0.55436
2.2,-0.35862
2.28,-0.412004
2.36,-0.704343
2.44,-1.200048
2.52,-1.864801
2.6,-2.621069
2.68,-3.461225
2.76,-4.3357
2.84,-5.186025
2.93,-5.937209
3.01,-6.462148
3.09,-6.684579
3.17,-6.635009
3.25,-6.345212
3.33,-5.820273
3.42,-5.159333
3.5,-4.401794
3.58,-3.573077
3.66,-2.743089
3.74,-1.946147
3.82,-1.233095
3.9,-0.686548
3.98,-0.368789
4.06,-0.319218
4.14,-0.539108
4.23,-1.033542
4.31,-1.718632
4.39,-2.529554
4.47,-3.415468
4.55,-4.265793
4.63,-5.0335
4.71,-5.679188
4.79,-6.177435
4.87,-6.510447
4.95,-6.622299
5.03,-6.518073
5.11,-6.116425
5.2,-5.469467
5.28,-4.667441
5.36,-3.765004
5.43,-2.875277
5.52,-2.084691
5.6,-1.376722
5.68,-0.837802
5.76,-0.506061
5.84,-0.385312
5.92,-0.511145
6,-0.856867
6.08,-1.416124
6.16,-2.155869
6.24,-3.003652
6.32,-3.94422
6.4,-4.854284
6.49,-5.649954
6.57,-6.23209
6.65,-6.568915
6.73,-6.624841
6.81,-6.492653
6.89,-6.129136
6.97,-5.606739
7.05,-4.941985
7.14,-4.098016
7.22,-3.241336
7.3,-2.359235
7.38,-1.555939
7.46,-0.905167
7.54,-0.486995
7.62,-0.340826
7.7,-0.442509
7.78,-0.803484
7.86,-1.352572
7.94,-2.055457
8.02,-2.852398
8.1,-3.665863
8.18,-4.540337
8.27,-5.330923
8.34,-5.981695
8.43,-6.509176
8.5,-6.749402
8.58,-6.735421
8.66,-6.455792
8.75,-5.899078
8.83,-5.165688
8.91,-4.343326
8.99,-3.494272
9.07,-2.655387
9.15,-1.901661
9.23,-1.23945
9.31,-0.743745
9.39,-0.453948
9.47,-0.40692
9.55,-0.603931
9.63,-1.060234
9.71,-1.721174
9.79,-2.53718
9.87,-3.437076
9.95,-4.316634
10.03,-5.119931
10.12,-5.769432
10.2,-6.22065
10.27,-6.478671
10.36,-6.533326
10.44,-6.398596
10.52,-6.037621
10.6,-5.437691
10.68,-4.680152
10.76,-3.813303
10.84,-2.905782
10.92,-2.065625
11,-1.346217
11.08,-0.812381
11.16,-0.498434
11.24,-0.418359
11.32,-0.589949
11.4,-0.967448
11.48,-1.515265
11.56,-2.216879
11.64,-3.017633
11.72,-3.853976
11.8,-4.730993
11.88,-5.529205
11.97,-6.172351
12.05,-6.563831
12.13,-6.678224
12.21,-6.521886
12.29,-6.131678
12.37,-5.547
12.45,-4.870807
12.53,-4.080221
12.62,-3.227354
12.69,-2.431684
12.77,-1.670332
12.86,-1.011934
12.94,-0.574697
13.02,-0.366246
13.1,-0.43234
13.18,-0.753913
13.26,-1.299189
13.34,-2.009699
13.42,-2.844772
13.5,-3.67476
13.58,-4.492038
13.66,-5.226698
13.74,-5.831713
13.82,-6.286744
13.9,-6.553662
13.98,-6.576541
14.06,-6.387156
14.14,-5.915601
14.22,-5.221614
14.3,-4.392897
14.38,-3.508254
14.46,-2.64649
14.54,-1.885138
14.62,-1.250889
14.71,-0.780605
14.79,-0.522584
14.87,-0.481911
14.95,-0.681464
15.03,-1.114888
15.11,-1.727529
15.19,-2.485068
15.27,-3.363356
15.35,-4.256896
15.43,-5.095781
15.52,-5.793581
15.6,-6.266408
15.68,-6.499008
15.76,-6.507905
15.84,-6.321062
15.92,-5.941022
16,-5.381765
16.08,-4.676338
16.16,-3.873042
16.24,-3.021446
16.32,-2.180019
16.4,-1.413582
16.48,-0.845428
16.56,-0.495892
16.64,-0.414546
16.72,-0.582323
16.8,-0.99414
16.89,-1.620762
16.97,-2.333814
17.05,-3.130755
17.13,-3.948033
17.21,-4.774208
17.29,-5.502514
17.37,-6.115154
17.45,-6.528242
17.54,-6.655346
17.61,-6.553662
17.7,-6.125322
17.78,-5.513953
17.86,-4.797087
17.94,-3.960744
18.02,-3.147279
18.1,-2.354151
18.18,-1.637285
18.26,-1.065318
18.34,-0.647146
18.42,-0.447593
18.5,-0.500977
18.58,-0.794586
18.66,-1.351301
18.74,-2.084691
18.82,-2.908324
18.9,-3.767546
18.99,-4.672525
19.07,-5.394475
19.15,-5.970256
19.23,-6.369362
19.31,-6.547307
19.39,-6.537139
19.47,-6.291828
19.55,-5.860946
19.63,-5.197464
19.71,-4.392897
19.79,-3.50317
19.87,-2.624882
19.95,-1.85082
20.03,-1.203861
20.11,-0.746287
20.19,-0.516229
20.27,-0.522584
20.35,-0.758997
20.44,-1.197506
20.51,-1.798707
20.6,-2.533367
20.68,-3.373524
20.76,-4.245456
20.84,-5.071631
20.92,-5.780871
21,-6.308352
21.08,-6.568915
21.16,-6.600691
21.24,-6.370633
21.33,-5.905433
21.41,-5.292792
21.49,-4.556861
21.57,-3.757377
21.65,-2.960436
21.73,-2.158411
21.81,-1.437732
21.89,-0.89627
21.97,-0.537837
22.05,-0.437425
22.13,-0.619183
22.21,-1.038626
22.29,-1.642369
22.37,-2.411348
22.46,-3.234981
22.54,-4.06624
22.62,-4.811068
22.7,-5.531747
22.78,-6.043976
22.86,-6.465961
22.94,-6.605775
23.03,-6.533326
23.1,-6.158369
23.19,-5.538103
23.27,-4.770395
23.35,-3.909902
23.43,-3.064661
23.51,-2.244842
23.59,-1.530518
23.67,-0.996682
23.75,-0.635707
23.83,-0.492079
23.91,-0.587407
24,-0.914064
24.08,-1.470779
24.16,-2.176205
24.24,-3.020175
24.32,-3.916257
24.4,-4.793274
24.48,-5.555897
24.56,-6.118967
24.65,-6.467232
24.73,-6.552391
24.81,-6.446895
24.89,-6.121509
24.97,-5.635973
25.05,-4.97249
25.13,-4.184446
25.21,-3.336664
25.29,-2.501591
25.37,-1.708463
25.45,-1.084383
