Temps [s],Tension [V]
0.02,3.8142
0.1,2.503759
0.18,1.115785
0.26,-0.161609
0.34,-1.212758
0.42,-2.103756
0.51,-2.763425
0.59,-3.125671
0.67,-3.232439
0.75,-3.040512
0.83,-2.626153
0.91,-1.965213
0.99,-1.083112
1.07,-0.021795
1.15,1.206028
1.23,2.550787
1.31,3.872667
1.39,5.214884
1.47,6.374071
1.55,7.310827
1.64,8.006085
1.72,8.396294
1.8,8.677193
1.88,8.703885
1.96,8.557716
2.04,8.200554
2.12,7.553595
2.2,6.695644
2.28,5.582214
2.36,4.274316
2.44,2.939725
2.52,1.584798
2.61,0.331554
2.69,-0.7984
2.77,-1.754221
2.85,-2.464731
2.93,-2.969334
3.01,-3.207018
3.09,-3.187952
3.18,-2.863837
3.26,-2.239757
3.34,-1.421209
3.42,-0.357349
3.5,0.864119
3.58,2.177102
3.66,3.542197
3.74,4.799254
3.82,5.866927
3.9,6.845627
3.98,7.554866
4.06,8.242498
4.14,8.674651
4.22,8.898354
4.3,8.862765
4.38,8.475098
4.47,7.845934
4.55,6.929515
4.63,5.837693
4.71,4.634019
4.79,3.362981
4.87,2.085587
4.95,0.879371
5.03,-0.320489
5.11,-1.31317
5.19,-2.160953
5.27,-2.788846
5.35,-3.138382
5.43,-3.228625
5.51,-2.988399
5.59,-2.482526
5.67,-1.70465
5.76,-0.659856
5.84,0.438321
5.92,1.669957
6,2.892697
6.08,4.148483
6.16,5.350885
6.24,6.414745
6.32,7.463351
6.4,8.251395
6.48,8.780147
6.57,9.050879
6.65,8.903438
6.73,8.537379
6.81,7.913299
6.89,7.08204
6.97,6.23807
7.05,5.186921
7.13,3.980706
7.21,2.745256
7.29,1.418292
7.37,0.171403
7.45,-0.986513
7.54,-1.93725
7.62,-2.608359
7.7,-3.035428
7.78,-3.142195
7.86,-2.983315
7.94,-2.563872
8.02,-1.902932
8.1,-1.072944
8.18,-0.06501
8.26,1.072569
8.34,2.365216
8.43,3.748106
8.5,5.011518
8.59,6.273659
8.67,7.350229
8.75,8.064553
8.84,8.561529
8.92,8.742016
9,8.670838
9.08,8.478911
9.16,8.042945
9.24,7.474791
9.32,6.667681
9.4,5.627972
9.48,4.398877
9.56,3.037595
9.64,1.705546
9.72,0.419255
9.8,-0.734848
9.88,-1.6805
9.97,-2.396095
10.05,-2.84223
10.13,-3.036699
10.21,-2.996025
