Temps [s],Tension [V]
0.02,-4.828863
0.1,-2.56133
0.18,0.275628
0.26,3.331205
0.34,6.038517
0.42,5.380119
0.5,2.199981
0.58,-1.014476
0.66,-3.584516
0.75,-5.286437
0.83,-4.916565
0.9,-3.273112
0.99,-1.292834
1.07,1.592424
1.15,4.819591
1.23,5.983862
1.31,3.732853
1.39,0.832343
1.47,-0.902625
1.55,-2.289328
1.63,-3.67476
1.71,-3.487917
1.79,-1.764389
1.88,0.187926
1.96,2.877444
2.04,5.470363
2.12,5.245389
2.2,2.349963
2.28,-0.492079
2.36,-2.453292
2.44,-4.340784
2.52,-3.965828
2.6,-2.486339
2.69,-0.809839
2.77,1.419563
2.85,4.528523
2.93,5.818627
3.01,3.783695
3.09,0.964531
3.17,-1.316983
3.25,-3.119316
3.33,-4.251812
3.41,-4.081492
3.49,-2.163495
3.57,-0.129833
3.65,2.156765
3.73,5.104304
3.81,5.139893
3.89,2.207607
3.97,-0.800942
4.05,-2.797743
4.13,-4.88606
4.22,-5.09451
4.3,-3.254046
4.38,-1.147935
4.46,1.226365
4.54,4.18153
4.62,5.752533
4.7,3.889191
4.79,0.930213
4.87,-1.285207
4.95,-2.684621
5.03,-3.707807
5.11,-3.562909
5.19,-2.08342
5.27,-0.142544
5.35,2.402076
5.43,4.84247
5.51,5.003892
5.59,2.662639
5.67,0.072262
5.75,-2.004615
5.83,-4.441196
5.92,-4.95978
6,-3.166345
6.08,-1.102178
6.16,1.029354
6.24,3.849789
6.32,5.602551
6.4,4.016295
6.48,1.270851
6.56,-1.146664
6.64,-2.857482
6.73,-3.904818
6.81,-3.578161
6.89,-2.327459
6.97,-0.329386
7.05,2.27243
7.13,4.70774
7.21,4.900938
7.3,2.531722
7.38,-0.043403
7.46,-2.124093
7.54,-4.34841
7.62,-5.023332
7.7,-3.350645
7.78,-1.16573
7.86,0.974699
7.94,3.745563
8.02,5.404269
8.1,4.006126
8.18,1.303898
8.26,-0.956008
8.34,-2.682079
8.42,-4.021754
8.5,-4.040819
8.58,-2.6592
8.66,-0.917877
8.74,1.383974
8.82,4.2311
8.91,4.94034
8.99,2.817705
9.07,0.283254
9.15,-1.658893
9.23,-3.745938
9.31,-4.746246
9.4,-3.482833
9.47,-1.330965
9.56,0.757352
9.64,3.43543
9.72,5.266997
9.8,3.97435
9.88,1.396684
9.96,-0.849241
10.04,-2.729107
