2024-03-14 09:26:34
ple_type	Xylophone
sple_name	Acier Doux
rho[g/cm3]	7.511
length[mm]	58.84
thickness[mm]	1.53
width[mm]	4.09
comments:

DDC CFreq[Hz]	9959000
Gap	15.00u
sens Hz/µm	0.00
measurements
time[s]	Fres[Hz]	Fres_std[Hz]	MotPos[mm]	fit_Ao	fit_tau	fit_Q_1	fit_sigma	fit_Nsples	E[Pa]	T[°C]	dT/dt[K/s]
0.000	2228.698	0.141	0.000	990.0	0.5355	2.66707E-4	10.0	379	1.807934E+11	26.124	-0.0101
5.040	2228.731	0.082	0.000	953.0	0.5473	2.60966E-4	10.2	397	1.807987E+11	26.142	-0.0237
10.080	2228.700	0.141	0.000	926.9	0.5530	2.58285E-4	9.8	394	1.807937E+11	26.096	-0.0536
15.101	2228.701	0.156	0.000	965.7	0.5448	2.62156E-4	10.0	404	1.807940E+11	26.138	-0.0578
20.120	2228.703	0.122	0.000	964.3	0.5464	2.61392E-4	10.5	401	1.807943E+11	26.120	-0.0407
25.140	2228.640	0.110	0.000	956.6	0.5460	2.61606E-4	9.9	398	1.807841E+11	26.120	-0.0097
30.181	2228.698	0.138	0.000	996.8	0.5360	2.66458E-4	11.1	398	1.807935E+11	26.081	0.0038
35.221	2228.707	0.156	0.000	973.4	0.5424	2.63329E-4	10.8	405	1.807949E+11	26.074	-0.0182
40.260	2228.734	0.155	0.000	958.3	0.5485	2.60396E-4	10.4	401	1.807992E+11	26.082	-0.0398
45.300	2228.685	0.142	0.000	949.7	0.5487	2.60274E-4	9.5	405	1.807913E+11	26.122	-0.0239
50.320	2228.676	0.142	0.000	974.2	0.5414	2.63818E-4	10.0	400	1.807898E+11	26.094	-0.0069
55.360	2228.773	0.143	0.000	979.7	0.5402	2.64369E-4	9.9	400	1.808057E+11	26.100	-0.0079
60.380	2228.800	0.177	0.000	915.1	0.5637	2.53337E-4	10.1	422	1.808101E+11	26.084	0.0079
65.401	2228.708	0.147	0.000	895.7	0.5671	2.51867E-4	10.1	421	1.807950E+11	26.116	-0.0040
70.440	2228.678	0.160	0.000	987.9	0.5451	2.62026E-4	10.2	414	1.807903E+11	26.088	0.0026
75.461	2228.648	0.140	0.000	998.2	0.5345	2.67222E-4	9.7	386	1.807853E+11	26.099	-0.0200
80.500	2228.695	0.139	0.000	1008.7	0.5375	2.65708E-4	9.8	405	1.807930E+11	26.119	-0.0346
85.540	2228.706	0.162	0.000	970.0	0.5437	2.62671E-4	10.7	401	1.807947E+11	26.088	-0.0548
90.580	2228.692	0.123	0.000	964.8	0.5447	2.62186E-4	10.1	401	1.807924E+11	26.073	-0.0423
95.601	2228.675	0.126	0.000	987.8	0.5409	2.64026E-4	10.7	408	1.807897E+11	26.104	-0.0227
104.381	2228.705	0.174	0.000	984.3	0.5387	2.65112E-4	10.1	398	1.807946E+11	26.072	-0.0248
109.421	2228.694	0.131	0.000	961.4	0.5460	2.61571E-4	9.5	398	1.807927E+11	26.081	-0.0127
114.460	2228.734	0.111	0.000	977.7	0.5431	2.62969E-4	10.1	401	1.807992E+11	26.051	-0.0215
119.481	2228.758	0.182	0.000	959.2	0.5482	2.60536E-4	10.3	407	1.808032E+11	26.089	-0.0306
124.501	2228.761	0.090	0.000	935.6	0.5565	2.56616E-4	10.1	401	1.808037E+11	26.102	-0.0042
129.541	2228.738	0.157	0.000	941.4	0.5546	2.57540E-4	10.2	407	1.807999E+11	26.048	0.0013
134.580	2228.729	0.133	0.000	947.7	0.5511	2.59145E-4	10.2	401	1.807984E+11	26.091	0.0001
139.621	2228.758	0.124	0.000	955.8	0.5521	2.58689E-4	9.5	401	1.808032E+11	26.115	-0.0006
144.660	2228.682	0.129	0.000	938.3	0.5534	2.58102E-4	9.2	401	1.807909E+11	26.085	-0.0257
149.680	2228.717	0.170	0.000	994.7	0.5421	2.63448E-4	9.8	405	1.807966E+11	26.043	-0.0369
154.701	2228.762	0.085	0.000	970.4	0.5468	2.61189E-4	10.7	405	1.808038E+11	26.065	-0.0433
159.740	2228.691	0.124	0.000	937.5	0.5558	2.56948E-4	9.8	404	1.807923E+11	26.077	-0.0108
