2024-03-14 09:29:32
ple_type	Xylophone
sple_name	Acier Doux T
rho[g/cm3]	7.511
length[mm]	58.84
thickness[mm]	1.53
width[mm]	4.09
comments:

DDC CFreq[Hz]	9959000
Gap	15.00u
sens Hz/µm	0.00
measurements
time[s]	Fres[Hz]	Fres_std[Hz]	MotPos[mm]	fit_Ao	fit_tau	fit_Q_1	fit_sigma	fit_Nsples	E[Pa]	T[°C]	dT/dt[K/s]
0.000	2228.700	0.157	0.000	998.8	0.5415	2.63761E-4	10.5	410	1.807937E+11	26.059	-0.0149
5.041	2228.710	0.119	0.000	973.0	0.5423	2.63378E-4	10.3	398	1.807954E+11	26.057	-0.0230
10.080	2228.772	0.145	0.000	969.3	0.5429	2.63068E-4	10.0	398	1.808055E+11	26.051	0.0413
15.100	2228.701	0.133	0.000	954.7	0.5512	2.59114E-4	10.2	414	1.807939E+11	26.008	0.0141
20.140	2228.666	0.127	0.000	977.2	0.5445	2.62305E-4	10.8	401	1.807883E+11	25.941	0.0699
25.180	2228.720	0.129	0.000	1027.9	0.5373	2.65813E-4	10.7	401	1.807971E+11	25.884	0.1644
30.220	2228.723	0.166	0.000	1010.4	0.5419	2.63567E-4	10.2	414	1.807975E+11	25.623	0.1980
35.261	2228.746	0.138	0.000	980.5	0.5446	2.62253E-4	9.4	400	1.808012E+11	25.448	0.2002
40.280	2228.723	0.116	0.000	956.5	0.5514	2.59025E-4	9.5	398	1.807975E+11	25.696	0.2223
45.320	2228.738	0.129	0.000	972.7	0.5511	2.59144E-4	10.2	405	1.807999E+11	26.006	0.2360
50.340	2228.709	0.161	0.000	949.2	0.5536	2.57984E-4	10.0	404	1.807953E+11	26.169	0.4262
55.380	2228.614	0.147	0.000	952.7	0.5601	2.55011E-4	9.9	431	1.807798E+11	25.772	-0.1207
60.400	2228.617	0.149	0.000	997.8	0.5412	2.63921E-4	10.5	407	1.807803E+11	25.903	-0.9418
65.420	2228.576	0.174	0.000	960.8	0.5548	2.57461E-4	9.7	408	1.807737E+11	26.104	-1.0061
70.440	2228.452	0.157	0.000	947.8	0.5584	2.55787E-4	9.8	407	1.807536E+11	26.407	-0.5460
75.460	2228.424	0.125	0.000	993.7	0.5433	2.62907E-4	10.3	407	1.807490E+11	26.783	0.6395
80.500	2228.377	0.155	0.000	968.6	0.5522	2.58699E-4	9.9	411	1.807414E+11	27.119	1.7112
85.539	2228.293	0.187	0.000	922.3	0.5658	2.52457E-4	9.7	401	1.807278E+11	27.300	1.9335
90.560	2228.203	0.131	0.000	918.6	0.5700	2.50616E-4	10.7	421	1.807131E+11	27.421	2.3045
