time[s],Fres[Hz],Fres_std[Hz],MotPos[mm],fit_Ao,fit_tau,fit_Q_1,fit_sigma,fit_Nsples,E[Pa],T[C],dT/dt[K/s]
0.000,2000.353,0.529,0.000,1533.7,2.9632,5.37014E-5,27.3,1961,1.012405E+11,25.126,0.0178
5.020,2000.501,0.558,0.000,1128.4,2.9647,5.36699E-5,26.9,1883,1.012555E+11,25.121,0.0292
10.040,2000.534,0.517,0.000,1304.1,3.0314,5.24881E-5,26.6,2098,1.012589E+11,25.099,0.0113
15.061,2000.508,0.386,0.000,1538.3,3.0324,5.24715E-5,27.1,1914,1.012562E+11,25.069,0.0016
20.081,2000.513,0.420,0.000,1527.8,2.9857,5.32917E-5,27.9,1993,1.012567E+11,25.082,-0.0225
25.100,2000.548,0.488,0.000,1605.9,2.9348,5.42157E-5,26.8,1979,1.012602E+11,25.093,-0.0202
30.141,2000.572,0.499,0.000,1431.4,2.9797,5.33983E-5,26.9,1922,1.012627E+11,25.065,-0.0225
35.180,2000.616,0.740,0.000,1143.8,2.9568,5.38103E-5,28.3,1955,1.012672E+11,25.082,-0.0292
40.220,2000.701,0.799,0.000,991.3,3.0199,5.26831E-5,28.0,2106,1.012758E+11,25.087,-0.0517
45.240,2000.641,0.990,0.000,858.3,2.9684,5.35993E-5,28.6,1935,1.012696E+11,25.125,-0.0315
50.281,2000.634,0.846,0.000,1221.7,2.9781,5.34254E-5,27.7,2043,1.012689E+11,25.092,0.0276
55.301,2000.593,0.737,0.000,1103.7,3.0432,5.22837E-5,27.7,1898,1.012649E+11,25.092,0.0234
60.321,2000.606,0.773,0.000,1144.8,2.9965,5.30976E-5,27.8,2078,1.012661E+11,25.097,0.0442
65.360,2000.671,0.772,0.000,1058.1,2.9816,5.33605E-5,28.7,1991,1.012727E+11,25.096,0.0117
70.401,2000.517,0.801,0.000,888.5,3.0205,5.26779E-5,27.7,2028,1.012571E+11,25.081,-0.0026
75.421,2000.441,0.599,0.000,1322.5,3.0106,5.28526E-5,28.0,2091,1.012494E+11,25.091,0.0121
80.461,2000.367,0.587,0.000,1635.5,2.9601,5.37575E-5,27.1,1969,1.012419E+11,25.083,-0.0237
90.921,2000.527,0.605,0.000,1208.6,3.0337,5.24489E-5,27.5,1898,1.012582E+11,25.119,-0.0312
95.941,2000.371,0.782,0.000,1288.4,2.9947,5.31353E-5,29.3,2202,1.012424E+11,25.078,-0.0800
