time[s],Fres[Hz],Fres_std[Hz],MotPos[mm],fit_Ao,fit_tau,fit_Q_1,fit_sigma,fit_Nsples,E[Pa],T[C],dT/dt[K/s]
0.000,3094.316,0.257,0.000,907.1,1.4285,7.20112E-5,13.5,1421,1.297783E+11,24.921,-0.0834
5.040,3094.306,0.262,0.000,886.6,1.4332,7.17758E-5,13.4,1451,1.297775E+11,24.943,-0.0601
11.080,3094.262,0.200,0.000,15746.6,949.2249,1.08374E-7,710.6,502,1.297738E+11,24.919,0.0116
17.620,3094.292,0.229,0.000,899.4,1.4280,7.20396E-5,13.9,1421,1.297763E+11,24.935,0.0291
22.640,3094.276,0.247,0.000,922.3,1.4280,7.20392E-5,13.3,1437,1.297750E+11,24.923,0.0037
27.680,3094.294,0.182,0.000,917.7,1.4236,7.22582E-5,13.4,1414,1.297765E+11,24.932,-0.0123
32.719,3094.264,0.243,0.000,905.2,1.4268,7.20999E-5,13.8,1421,1.297739E+11,24.937,-0.0046
37.759,3094.315,0.141,0.000,901.2,1.4217,7.23583E-5,14.2,1421,1.297783E+11,24.927,-0.0352
42.800,3094.357,0.184,0.000,913.6,1.4266,7.21078E-5,13.7,1437,1.297818E+11,24.926,-0.0357
47.820,3094.314,0.238,0.000,826.0,1.4326,7.18057E-5,13.4,1443,1.297782E+11,24.933,-0.0356
52.839,3094.298,0.247,0.000,896.9,1.4229,7.22961E-5,14.2,1467,1.297768E+11,24.920,-0.0358
57.880,3094.296,0.217,0.000,916.4,1.4334,7.17657E-5,13.8,1485,1.297766E+11,24.930,-0.0194
62.900,3094.270,0.269,0.000,920.8,1.4278,7.20460E-5,13.8,1426,1.297745E+11,24.956,-0.0208
67.939,3094.296,0.166,0.000,913.2,1.4277,7.20507E-5,13.0,1414,1.297767E+11,24.876,-0.0539
72.960,3094.335,0.237,0.000,925.1,1.4199,7.24502E-5,13.5,1456,1.297799E+11,24.912,-0.0276
77.980,3094.306,0.243,0.000,892.0,1.4300,7.19378E-5,13.3,1432,1.297775E+11,24.936,-0.0087
83.000,3094.303,0.190,0.000,915.9,1.4288,7.19983E-5,14.1,1456,1.297773E+11,24.873,-0.0641
88.039,3094.290,0.235,0.000,911.8,1.4321,7.18304E-5,13.4,1433,1.297761E+11,24.880,-0.0802
93.060,3094.303,0.206,0.000,921.2,1.4299,7.19443E-5,14.0,1414,1.297773E+11,24.933,-0.0715
98.100,3094.345,0.191,0.000,916.6,1.4291,7.19819E-5,13.5,1433,1.297808E+11,24.892,-0.0351
103.140,3094.268,0.195,0.000,887.5,1.4269,7.20940E-5,13.5,1443,1.297743E+11,24.900,0.0220
108.160,3094.354,0.248,0.000,902.9,1.4352,7.16744E-5,13.9,1439,1.297815E+11,24.865,-0.0069
113.200,3094.189,0.245,0.000,872.3,1.4335,7.17643E-5,14.0,1421,1.297677E+11,24.895,-0.0054
