Huile,Temperature [C],Temps 1 [s],Temps 2 [s]
2,73,4.01,7.15
2,73,4.03,7.39
2,71,4.07,7.49
2,71,4.17,7.90
2,69,3.87,7.63
2,68,4.38,8.27
2,67,4.17,8.13
2,66,4.52,8.44
2,64,4.5,8.6
2,63,5.03,9.55
2,61,5.13,9.69
2,60,5.52,10.33
2,59,5.3,10.31
2,57,5.29,10.45
2,56,5.69,10.94
2,55,5.43,11.15
2,54,6.21,12.09
2,52,6.53,12.47
2,51,6.39,12.55
2,50,7.03,13.7
2,49,7.15,14.08
2,48,7.08,14.04
2,47,7.71,15.21
2,46,8.29,15.63
2,44,8.28,16.61
2,44,8.77,17.57
2,42,9.01,18.15
2,41,9.89,19.59
2,40,10.71,20.45
2,39,10.94,21.07
2,38,10.79,21.47
2,36,12.07,23.65
2,35,12.23,24.07
2,34,13.39,26.71
2,33,14.26,28.3
2,32,14.95,29.87
2,31,15.8,31.24
2,30,16.27,32.49
2,29,17.81,36.23
2,27,18.42,37.11
