Mesure,Temps,X,Y
0.000000,0.020000,1.765576,-0.002146
1.000000,0.100000,1.771942,-0.002146
2.000000,0.180000,1.775761,-0.002146
3.000000,0.260000,1.704468,-0.000872
4.000000,0.350000,1.528783,-0.009792
5.000000,0.420000,1.303448,-0.005969
6.000000,0.500000,1.022097,-0.004695
7.000000,0.580000,0.679638,-0.009792
8.000000,0.660000,0.311718,-0.011066
9.000000,0.750000,-0.102034,-0.011066
10.000000,0.820000,-0.462315,-0.005969
11.000000,0.910000,-0.807320,-0.004695
12.000000,0.990000,-1.116679,-0.005969
13.000000,1.070000,-1.339468,-0.008518
14.000000,1.150000,-1.488419,-0.005969
15.000000,1.230000,-1.493511,-0.003420
16.000000,1.310000,-1.499877,-0.002146
17.000000,1.390000,-1.431130,-0.000872
18.000000,1.470000,-1.254172,-0.004695
19.000000,1.550000,-0.993190,-0.003420
20.000000,1.630000,-0.697835,-0.004695
21.000000,1.710000,-0.346465,-0.002146
22.000000,1.790000,0.008725,-0.002146
23.000000,1.870000,0.381737,0.000402
24.000000,1.950000,0.728015,-0.002146
25.000000,2.030000,1.038647,-0.002146
26.000000,2.120000,1.279259,-0.000872
27.000000,2.200000,1.447306,-0.002146
28.000000,2.280000,1.563156,-0.000872
29.000000,2.360000,1.578433,-0.005969
30.000000,2.440000,1.527510,-0.005969
31.000000,2.520000,1.384925,-0.005969
32.000000,2.600000,1.181232,-0.005969
33.000000,2.680000,0.931708,-0.007243
34.000000,2.760000,0.631261,-0.011066
35.000000,2.840000,0.306625,-0.011066
36.000000,2.920000,-0.051110,-0.005969
37.000000,3.000000,-0.389750,-0.005969
38.000000,3.080000,-0.702928,-0.002146
39.000000,3.170000,-0.974094,-0.007243
40.000000,3.250000,-1.187972,-0.004695
41.000000,3.330000,-1.324191,-0.002146
42.000000,3.410000,-1.389118,-0.000872
43.000000,3.490000,-1.384026,-0.005969
44.000000,3.570000,-1.282180,-0.004695
45.000000,3.650000,-1.131956,-0.005969
46.000000,3.730000,-0.891344,-0.002146
47.000000,3.810000,-0.632908,-0.002146
48.000000,3.890000,-0.310819,-0.003420
49.000000,3.970000,0.016363,-0.002146
50.000000,4.060000,0.352456,-0.000872
51.000000,4.140000,0.650357,0.001677
52.000000,4.210000,0.920251,-0.002146
53.000000,4.300000,1.130309,-0.005969
54.000000,4.380000,1.293263,-0.002146
55.000000,4.460000,1.396383,-0.000872
56.000000,4.540000,1.411660,-0.005969
57.000000,4.620000,1.360737,-0.002146
58.000000,4.700000,1.241067,-0.007243
59.000000,4.780000,1.070474,-0.002146
60.000000,4.870000,0.829862,-0.002146
61.000000,4.950000,0.547238,-0.005969
62.000000,5.030000,0.253156,-0.007243
63.000000,5.110000,-0.074026,-0.009792
64.000000,5.200000,-0.383384,-0.005969
65.000000,5.280000,-0.660916,-0.003420
66.000000,5.360000,-0.887525,-0.008518
67.000000,5.440000,-1.074667,-0.005969
68.000000,5.510000,-1.185425,-0.009792
69.000000,5.600000,-1.236349,-0.005969
70.000000,5.680000,-1.222345,-0.007243
71.000000,5.760000,-1.133229,-0.003420
72.000000,5.840000,-0.989371,-0.002146
73.000000,5.920000,-0.762763,-0.000872
74.000000,6.010000,-0.525970,-0.000872
75.000000,6.080000,-0.238253,-0.002146
76.000000,6.170000,0.044371,-0.005969
77.000000,6.250000,0.335906,-0.000872
78.000000,6.330000,0.610892,-0.002146
79.000000,6.410000,0.832408,-0.003420
80.000000,6.490000,1.036101,0.001677
81.000000,6.570000,1.159590,-0.005969
82.000000,6.650000,1.248705,-0.004695
83.000000,6.730000,1.261436,-0.003420
84.000000,6.810000,1.213059,-0.002146
85.000000,6.890000,1.109940,-0.000872
86.000000,6.970000,0.948258,-0.005969
87.000000,7.050000,0.736927,-0.005969
88.000000,7.130000,0.503953,-0.004695
89.000000,7.210000,0.228968,-0.005969
90.000000,7.300000,-0.061295,-0.005969
91.000000,7.370000,-0.317184,-0.005969
92.000000,7.460000,-0.575620,-0.005969
93.000000,7.540000,-0.775493,-0.003420
94.000000,7.620000,-0.933355,-0.000872
95.000000,7.700000,-1.055571,-0.002146
96.000000,7.780000,-1.105221,-0.005969
97.000000,7.860000,-1.096310,-0.007243
98.000000,7.940000,-1.014833,-0.000872
99.000000,8.020000,-0.872248,-0.002146
100.000000,8.100000,-0.701655,-0.005969
101.000000,8.180000,-0.489050,0.002951
102.000000,8.260000,-0.235707,-0.004695
103.000000,8.350000,0.029094,-0.002146
104.000000,8.430000,0.286256,0.001677
105.000000,8.510000,0.529415,0.001677
106.000000,8.590000,0.742019,-0.002146
107.000000,8.670000,0.926616,-0.000872
108.000000,8.750000,1.052651,-0.000872
109.000000,8.830000,1.111213,0.001677
110.000000,8.910000,1.129036,-0.005969
111.000000,9.000000,1.088297,-0.005969
112.000000,9.070000,0.997908,-0.004695
113.000000,9.160000,0.838773,-0.002146
114.000000,9.240000,0.664361,-0.004695
115.000000,9.320000,0.437753,-0.004695
116.000000,9.400000,0.189502,-0.007243
117.000000,9.480000,-0.061295,-0.005969
118.000000,9.560000,-0.291723,-0.004695
119.000000,9.640000,-0.515785,-0.005969
120.000000,9.730000,-0.692743,-0.002146
121.000000,9.810000,-0.835328,-0.005969
122.000000,9.890000,-0.932082,-0.007243
123.000000,9.970000,-0.974094,-0.007243
124.000000,10.050000,-0.960090,-0.005969
125.000000,10.130000,-0.884978,-0.003420
126.000000,10.210000,-0.764036,-0.000872
127.000000,10.290000,-0.611266,-0.002146
128.000000,10.370000,-0.413938,-0.004695
129.000000,10.450000,-0.183511,-0.005969
130.000000,10.540000,0.044371,0.002951
131.000000,10.620000,0.273525,-0.002146
132.000000,10.700000,0.487403,0.002951
133.000000,10.780000,0.673273,-0.005969
134.000000,10.860000,0.815858,0.000402
135.000000,10.940000,0.935528,-0.003420
136.000000,11.020000,1.003001,0.001677
137.000000,11.100000,1.009366,-0.008518
138.000000,11.180000,0.972447,-0.000872
139.000000,11.270000,0.875693,-0.002146
140.000000,11.350000,0.738200,-0.005969
141.000000,11.430000,0.571426,-0.004695
142.000000,11.510000,0.386830,-0.004695
143.000000,11.590000,0.166587,-0.000872
144.000000,11.670000,-0.063841,-0.005969
145.000000,11.750000,-0.264988,-0.004695
146.000000,11.830000,-0.468681,-0.005969
147.000000,11.910000,-0.631635,-0.011066
148.000000,12.000000,-0.744939,-0.005969
149.000000,12.080000,-0.823870,-0.005969
150.000000,12.160000,-0.854424,-0.002146
151.000000,12.240000,-0.840421,-0.004695
152.000000,12.320000,-0.772947,-0.002146
153.000000,12.400000,-0.674920,-0.003420
154.000000,12.480000,-0.536154,-0.002146
155.000000,12.560000,-0.347738,-0.003420
156.000000,12.640000,-0.147864,-0.002146
157.000000,12.730000,0.060921,0.001677
158.000000,12.810000,0.260795,-0.005969
159.000000,12.890000,0.445391,-0.004695
