Mesure,Temps,X,Y
0.000000,0.020000,1.714653,-0.004695
1.000000,0.100000,1.712107,-0.004695
2.000000,0.180000,1.712107,-0.004695
3.000000,0.270000,1.712107,-0.004695
4.000000,0.350000,1.708288,-0.005969
5.000000,0.430000,1.709561,-0.002146
6.000000,0.510000,1.708288,-0.003420
7.000000,0.590000,1.701922,-0.007243
8.000000,0.670000,1.704468,-0.008518
9.000000,0.750000,1.709561,-0.003420
10.000000,0.830000,1.709561,-0.002146
11.000000,0.910000,1.703195,-0.005969
12.000000,1.000000,1.701922,-0.007243
13.000000,1.080000,1.704468,-0.005969
14.000000,1.160000,1.708288,0.000402
15.000000,1.240000,1.705742,-0.005969
16.000000,1.320000,1.700649,-0.005969
17.000000,1.400000,1.705742,-0.002146
18.000000,1.480000,1.707015,-0.004695
19.000000,1.570000,1.708288,-0.003420
20.000000,1.640000,1.708288,-0.004695
21.000000,1.730000,1.709561,-0.000872
22.000000,1.810000,1.709561,-0.007243
23.000000,1.890000,1.676461,-0.005969
24.000000,1.970000,1.482952,-0.008518
25.000000,2.050000,1.141767,-0.011066
26.000000,2.130000,0.703827,-0.007243
27.000000,2.210000,0.190775,-0.007243
28.000000,2.290000,-0.368107,-0.007243
29.000000,2.370000,-0.860790,-0.011066
30.000000,2.450000,-1.247806,-0.011066
31.000000,2.530000,-1.503696,-0.011066
32.000000,2.610000,-1.517700,-0.007243
33.000000,2.690000,-1.510061,-0.005969
34.000000,2.770000,-1.303822,-0.004695
35.000000,2.850000,-0.918078,-0.004695
36.000000,2.930000,-0.452131,-0.002146
37.000000,3.020000,0.088929,0.002951
38.000000,3.100000,0.612165,0.002951
39.000000,3.180000,1.060289,-0.000872
40.000000,3.260000,1.400202,-0.005969
41.000000,3.340000,1.608987,-0.005969
42.000000,3.430000,1.639541,-0.005969
43.000000,3.500000,1.500775,-0.000872
44.000000,3.580000,1.211786,-0.009792
45.000000,3.670000,0.794216,-0.008518
46.000000,3.750000,0.314264,-0.005969
47.000000,3.830000,-0.224249,-0.014889
48.000000,3.910000,-0.702928,-0.007243
49.000000,3.990000,-1.130683,-0.014889
50.000000,4.070000,-1.426038,-0.007243
51.000000,4.150000,-1.516427,-0.011066
52.000000,4.230000,-1.512607,-0.007243
