Mesure,Temps,X,Y
0.000000,0.030000,-0.104580,-0.014889
1.000000,0.100000,-0.104580,-0.008518
2.000000,0.180000,-0.096941,0.009322
3.000000,0.260000,-0.081664,0.022065
4.000000,0.350000,-0.057476,0.034808
5.000000,0.430000,-0.026922,0.045002
6.000000,0.510000,0.008725,0.050100
7.000000,0.590000,0.040552,0.050100
8.000000,0.670000,0.072379,0.046277
9.000000,0.750000,0.099113,0.045002
10.000000,0.830000,0.114390,0.038631
11.000000,0.910000,0.113117,0.018242
12.000000,0.990000,0.106752,0.004225
13.000000,1.070000,0.085109,-0.011066
14.000000,1.150000,0.054555,-0.022535
15.000000,1.230000,0.015090,-0.028906
16.000000,1.320000,-0.026922,-0.032729
17.000000,1.400000,-0.072753,-0.041649
18.000000,1.480000,-0.110945,-0.030180
19.000000,1.560000,-0.135134,-0.028906
20.000000,1.640000,-0.147864,-0.016163
21.000000,1.720000,-0.152957,-0.005969
22.000000,1.800000,-0.151684,0.001677
23.000000,1.880000,-0.091849,0.022065
24.000000,1.960000,0.120756,0.029711
25.000000,2.040000,0.488676,0.039905
26.000000,2.120000,0.824769,0.050100
27.000000,2.200000,1.073020,0.050100
28.000000,2.290000,1.221971,0.042454
29.000000,2.370000,1.246159,0.042454
30.000000,2.450000,1.140494,0.029711
31.000000,2.530000,0.935528,0.023340
32.000000,2.610000,0.624896,0.004225
33.000000,2.690000,0.239152,-0.007243
34.000000,2.770000,-0.154230,-0.013615
35.000000,2.860000,-0.534881,-0.026358
36.000000,2.940000,-0.836601,-0.031455
37.000000,3.020000,-1.081033,-0.034003
38.000000,3.100000,-1.186699,-0.036552
39.000000,3.180000,-1.170149,-0.028906
40.000000,3.260000,-1.030110,-0.021260
41.000000,3.340000,-0.784405,-0.005969
42.000000,3.430000,-0.463589,0.004225
43.000000,3.510000,-0.093122,0.015694
44.000000,3.590000,0.276072,0.032260
45.000000,3.670000,0.610892,0.039905
46.000000,3.750000,0.885877,0.045002
47.000000,3.830000,1.056470,0.053922
48.000000,3.910000,1.113759,0.047551
49.000000,3.990000,1.067928,0.038631
50.000000,4.070000,0.940620,0.034808
51.000000,4.150000,0.679638,0.023340
52.000000,4.230000,0.383010,0.009322
53.000000,4.320000,0.031640,-0.005969
54.000000,4.400000,-0.318457,-0.017438
55.000000,4.480000,-0.636728,-0.023809
56.000000,4.560000,-0.865882,-0.027632
57.000000,4.640000,-1.013560,-0.035278
58.000000,4.720000,-1.059390,-0.034003
59.000000,4.800000,-0.981733,-0.028906
60.000000,4.880000,-0.800955,-0.019986
61.000000,4.970000,-0.565435,-0.005969
62.000000,5.050000,-0.249711,0.000402
63.000000,5.130000,0.068559,0.015694
64.000000,5.210000,0.376645,0.033534
65.000000,5.290000,0.652904,0.038631
66.000000,5.370000,0.859143,0.043728
67.000000,5.450000,0.971174,0.052648
68.000000,5.530000,0.978812,0.045002
69.000000,5.620000,0.894789,0.038631
70.000000,5.700000,0.710192,0.032260
71.000000,5.780000,0.474672,0.028437
72.000000,5.860000,0.186956,0.014420
73.000000,5.940000,-0.118584,0.002951
74.000000,6.020000,-0.406300,-0.017438
75.000000,6.100000,-0.657097,-0.025083
76.000000,6.180000,-0.814959,-0.026358
77.000000,6.260000,-0.910440,-0.037826
78.000000,6.340000,-0.898982,-0.032729
79.000000,6.430000,-0.790770,-0.026358
80.000000,6.510000,-0.623997,-0.019986
81.000000,6.590000,-0.378292,-0.011066
82.000000,6.670000,-0.104580,-0.002146
83.000000,6.750000,0.188229,0.011871
84.000000,6.830000,0.435207,0.024614
85.000000,6.910000,0.647811,0.038631
86.000000,6.990000,0.777665,0.042454
87.000000,7.070000,0.841320,0.052648
88.000000,7.160000,0.813312,0.050100
89.000000,7.230000,0.707646,0.043728
90.000000,7.310000,0.543419,0.038631
