Mesure,Temps,X,Y
0.000000,0.030000,0.137306,0.008048
1.000000,0.100000,0.087656,-0.005969
2.000000,0.180000,0.030367,-0.009792
3.000000,0.260000,-0.039653,-0.017438
4.000000,0.340000,-0.103307,-0.028906
5.000000,0.430000,-0.159322,-0.031455
6.000000,0.510000,-0.192422,-0.035278
7.000000,0.590000,-0.216611,-0.026358
8.000000,0.670000,-0.212792,-0.021260
9.000000,0.750000,-0.196242,-0.011066
10.000000,0.830000,-0.158049,-0.004695
11.000000,0.920000,-0.113491,0.005500
12.000000,1.000000,-0.046018,0.024614
13.000000,1.080000,0.018909,0.034808
14.000000,1.160000,0.085109,0.038631
15.000000,1.240000,0.142398,0.045002
16.000000,1.320000,0.188229,0.050100
17.000000,1.400000,0.207325,0.043728
18.000000,1.480000,0.218783,0.041180
19.000000,1.560000,0.202233,0.034808
20.000000,1.640000,0.162767,0.019517
21.000000,1.730000,0.115663,0.011871
22.000000,1.810000,0.049463,-0.007243
23.000000,1.890000,-0.016737,-0.011066
24.000000,1.970000,-0.084210,-0.025083
25.000000,2.050000,-0.142772,-0.028906
26.000000,2.130000,-0.182238,-0.032729
27.000000,2.210000,-0.214065,-0.030180
28.000000,2.290000,-0.225522,-0.027632
29.000000,2.370000,-0.214065,-0.018712
30.000000,2.460000,-0.178418,-0.007243
31.000000,2.540000,-0.132587,-0.000872
32.000000,2.620000,0.030367,0.019517
33.000000,2.700000,0.325722,0.029711
34.000000,2.780000,0.646538,0.034808
35.000000,2.860000,0.904974,0.038631
36.000000,2.940000,1.055197,0.048825
37.000000,3.020000,1.112486,0.045002
38.000000,3.100000,1.062836,0.043728
39.000000,3.180000,0.912612,0.033534
40.000000,3.260000,0.655450,0.029711
41.000000,3.340000,0.340999,0.014420
42.000000,3.430000,-0.020556,-0.000872
43.000000,3.510000,-0.363015,-0.011066
44.000000,3.590000,-0.663462,-0.022535
45.000000,3.670000,-0.884978,-0.026358
46.000000,3.750000,-1.014833,-0.036552
47.000000,3.830000,-1.039021,-0.036552
48.000000,3.920000,-0.947359,-0.031455
49.000000,4.000000,-0.767855,-0.026358
50.000000,4.080000,-0.503054,-0.011066
51.000000,4.160000,-0.184784,-0.005969
52.000000,4.240000,0.125848,0.006774
53.000000,4.320000,0.428841,0.022065
54.000000,4.410000,0.689823,0.036082
55.000000,4.490000,0.864235,0.039905
56.000000,4.570000,0.959716,0.045002
57.000000,4.650000,0.948258,0.048825
58.000000,4.730000,0.843866,0.045002
59.000000,4.810000,0.655450,0.041180
60.000000,4.890000,0.402107,0.032260
61.000000,4.980000,0.100386,0.023340
62.000000,5.060000,-0.188603,0.008048
63.000000,5.140000,-0.453404,-0.002146
64.000000,5.220000,-0.673647,-0.017438
65.000000,5.300000,-0.817505,-0.025083
66.000000,5.380000,-0.881159,-0.030180
67.000000,5.460000,-0.851878,-0.035278
68.000000,5.540000,-0.750032,-0.036552
69.000000,5.620000,-0.561616,-0.028906
70.000000,5.700000,-0.318457,-0.021260
71.000000,5.780000,-0.052383,-0.007243
72.000000,5.860000,0.207325,-0.002146
73.000000,5.940000,0.449211,0.008048
74.000000,6.020000,0.635080,0.025888
75.000000,6.110000,0.748385,0.038631
76.000000,6.190000,0.787850,0.036082
77.000000,6.270000,0.742019,0.048825
78.000000,6.350000,0.641446,0.050100
79.000000,6.430000,0.463214,0.045002
80.000000,6.510000,0.254429,0.038631
81.000000,6.590000,0.007451,0.032260
82.000000,6.670000,-0.224249,0.024614
83.000000,6.760000,-0.445765,0.009322
84.000000,6.840000,-0.609993,-0.007243
85.000000,6.910000,-0.692743,-0.016163
86.000000,7.000000,-0.716932,-0.026358
87.000000,7.080000,-0.672374,-0.026358
88.000000,7.160000,-0.551431,-0.032729
89.000000,7.240000,-0.375746,-0.032729
90.000000,7.320000,-0.179691,-0.027632
91.000000,7.400000,0.029094,-0.022535
92.000000,7.480000,0.231514,-0.014889
93.000000,7.560000,0.405926,-0.005969
94.000000,7.640000,0.544692,0.018242
95.000000,7.720000,0.609619,0.029711
96.000000,7.800000,0.619803,0.042454
97.000000,7.880000,0.562515,0.045002
98.000000,7.970000,0.445391,0.050100
99.000000,8.050000,0.298987,0.045002
100.000000,8.130000,0.118209,0.045002
101.000000,8.210000,-0.072753,0.036082
102.000000,8.290000,-0.234434,0.032260
103.000000,8.370000,-0.387204,0.018242
104.000000,8.450000,-0.494142,0.005500
105.000000,8.530000,-0.547612,-0.009792
106.000000,8.610000,-0.538700,-0.017438
107.000000,8.690000,-0.477592,-0.025083
108.000000,8.770000,-0.371927,-0.036552
109.000000,8.860000,-0.224249,-0.032729
110.000000,8.930000,-0.084210,-0.034003
111.000000,9.020000,0.077471,-0.022535
112.000000,9.100000,0.223875,-0.017438
113.000000,9.180000,0.340999,-0.007243
114.000000,9.260000,0.404653,0.001677
115.000000,9.340000,0.446664,0.022065
116.000000,9.420000,0.426295,0.029711
117.000000,9.500000,0.367733,0.036082
118.000000,9.580000,0.284983,0.045002
119.000000,9.660000,0.160221,0.048825
120.000000,9.740000,0.024001,0.042454
121.000000,9.830000,-0.100760,0.038631
122.000000,9.910000,-0.214065,0.038631
123.000000,9.990000,-0.299361,0.022065
124.000000,10.070000,-0.355377,0.011871
125.000000,10.150000,-0.369381,0.000402
126.000000,10.230000,-0.346465,-0.012340
127.000000,10.320000,-0.289176,-0.026358
128.000000,10.400000,-0.193695,-0.030180
129.000000,10.480000,-0.107126,-0.036552
130.000000,10.560000,-0.005279,-0.032729
131.000000,10.650000,0.102933,-0.028906
132.000000,10.730000,0.188229,-0.022535
133.000000,10.800000,0.246791,-0.017438
134.000000,10.890000,0.286256,-0.000872
135.000000,10.970000,0.287529,0.010597
136.000000,11.050000,0.253156,0.025888
137.000000,11.130000,0.200960,0.036082
138.000000,11.210000,0.125848,0.039905
139.000000,11.290000,0.044371,0.043728
140.000000,11.370000,-0.037106,0.052648
141.000000,11.450000,-0.113491,0.048825
142.000000,11.530000,-0.169507,0.038631
143.000000,11.610000,-0.196242,0.033534
144.000000,11.690000,-0.215338,0.025888
145.000000,11.770000,-0.206426,0.005500
146.000000,11.850000,-0.175872,-0.007243
147.000000,11.940000,-0.131314,-0.017438
148.000000,12.020000,-0.070207,-0.023809
149.000000,12.100000,-0.020556,-0.036552
150.000000,12.180000,0.035459,-0.039100
151.000000,12.260000,0.088929,-0.031455
152.000000,12.340000,0.123302,-0.030180
153.000000,12.420000,0.142398,-0.023809
154.000000,12.500000,0.141125,-0.012340
155.000000,12.580000,0.129667,0.002951
156.000000,12.660000,0.096567,0.018242
157.000000,12.750000,0.052009,0.027162
158.000000,12.820000,0.004905,0.033534
159.000000,12.900000,-0.030741,0.046277
160.000000,12.990000,-0.066387,0.048825
161.000000,13.070000,-0.098214,0.046277
162.000000,13.150000,-0.107126,0.045002
163.000000,13.230000,-0.108399,0.038631
164.000000,13.310000,-0.091849,0.033534
165.000000,13.390000,-0.070207,0.013145
166.000000,13.470000,-0.040926,-0.002146
167.000000,13.560000,-0.005279,-0.009792
168.000000,13.640000,0.020182,-0.018712
169.000000,13.720000,0.045644,-0.031455
170.000000,13.800000,0.063467,-0.036552
171.000000,13.880000,0.064740,-0.036552
172.000000,13.960000,0.057102,-0.031455
173.000000,14.040000,0.040552,-0.030180
174.000000,14.120000,0.017636,-0.011066
175.000000,14.200000,-0.010372,-0.005969
176.000000,14.290000,-0.039653,0.005500
177.000000,14.370000,-0.056203,0.023340
178.000000,14.440000,-0.070207,0.034808
179.000000,14.530000,-0.080391,0.042454
180.000000,14.610000,-0.077845,0.042454
181.000000,14.690000,-0.060022,0.053922
182.000000,14.770000,-0.043472,0.045002
183.000000,14.850000,-0.012918,0.046277
184.000000,14.930000,0.017636,0.038631
185.000000,15.010000,0.045644,0.028437
186.000000,15.100000,0.072379,0.010597
187.000000,15.180000,0.085109,-0.005969
188.000000,15.260000,0.095294,-0.012340
189.000000,15.340000,0.082563,-0.021260
190.000000,15.430000,0.062194,-0.035278
191.000000,15.500000,0.032913,-0.037826
192.000000,15.590000,-0.006552,-0.031455
193.000000,15.670000,-0.042199,-0.031455
194.000000,15.750000,-0.082937,-0.026358
195.000000,15.830000,-0.104580,-0.012340
196.000000,15.910000,-0.128768,-0.005969
197.000000,15.990000,-0.131314,0.009322
198.000000,16.070000,-0.132587,0.023340
199.000000,16.160000,-0.104580,0.038631
200.000000,16.240000,-0.070207,0.043728
201.000000,16.320000,-0.037106,0.050100
202.000000,16.400000,0.009998,0.045002
203.000000,16.480000,0.057102,0.041180
204.000000,16.560000,0.100386,0.037357
205.000000,16.640000,0.128394,0.029711
206.000000,16.720000,0.147490,0.019517
207.000000,16.800000,0.144944,0.004225
208.000000,16.890000,0.136033,-0.005969
209.000000,16.970000,0.111844,-0.012340
210.000000,17.050000,0.064740,-0.032729
211.000000,17.130000,0.009998,-0.031455
212.000000,17.210000,-0.044745,-0.036552
213.000000,17.290000,-0.098214,-0.031455
214.000000,17.370000,-0.144045,-0.026358
215.000000,17.450000,-0.169507,-0.017438
216.000000,17.530000,-0.184784,-0.005969
217.000000,17.610000,-0.186057,-0.005969
218.000000,17.690000,-0.168234,0.015694
219.000000,17.780000,-0.127495,0.029711
220.000000,17.850000,-0.082937,0.036082
221.000000,17.930000,-0.016737,0.042454
222.000000,18.010000,0.045644,0.052648
223.000000,18.100000,0.102933,0.045002
224.000000,18.180000,0.162767,0.048825
225.000000,18.260000,0.192048,0.038631
226.000000,18.340000,0.203506,0.032260
227.000000,18.420000,0.197141,0.018242
228.000000,18.500000,0.171679,-0.003420
229.000000,18.580000,0.125848,-0.011066
230.000000,18.660000,0.064740,-0.018712
231.000000,18.750000,-0.006552,-0.031455
232.000000,18.830000,-0.072753,-0.032729
233.000000,18.910000,-0.138953,-0.035278
