Mesure,Temps,X,Y
0.000000,0.020000,-0.086757,0.045002
1.000000,0.100000,-0.049837,0.045002
2.000000,0.180000,-0.019283,0.033534
3.000000,0.260000,0.026548,0.028437
4.000000,0.350000,0.055829,0.005500
5.000000,0.430000,0.085109,-0.012340
6.000000,0.510000,0.100386,-0.023809
7.000000,0.590000,0.100386,-0.036552
8.000000,0.670000,0.088929,-0.037826
9.000000,0.750000,0.062194,-0.034003
10.000000,0.830000,0.027821,-0.032729
11.000000,0.910000,-0.006552,-0.016163
12.000000,0.990000,-0.046018,-0.002146
13.000000,1.070000,-0.076572,0.008048
14.000000,1.150000,-0.098214,0.025888
15.000000,1.230000,-0.107126,0.041180
16.000000,1.320000,-0.108399,0.042454
17.000000,1.400000,-0.084210,0.045002
18.000000,1.480000,-0.060022,0.045002
19.000000,1.560000,-0.029468,0.034808
20.000000,1.640000,0.016363,0.029711
21.000000,1.720000,0.050736,0.004225
22.000000,1.800000,0.082563,-0.009792
23.000000,1.880000,0.101659,-0.021260
24.000000,1.960000,0.102933,-0.031455
25.000000,2.040000,0.094021,-0.036552
26.000000,2.130000,0.067286,-0.036552
27.000000,2.200000,0.032913,-0.031455
28.000000,2.290000,-0.002733,-0.018712
29.000000,2.370000,-0.040926,-0.012340
30.000000,2.450000,-0.067660,0.004225
31.000000,2.530000,-0.098214,0.024614
32.000000,2.610000,-0.108399,0.034808
33.000000,2.690000,-0.108399,0.043728
34.000000,2.770000,-0.090576,0.045002
35.000000,2.850000,-0.062568,0.043728
36.000000,2.930000,-0.033287,0.038631
37.000000,3.010000,0.004905,0.029711
38.000000,3.090000,0.044371,0.013145
39.000000,3.170000,0.076198,-0.007243
40.000000,3.250000,0.095294,-0.021260
41.000000,3.330000,0.109298,-0.026358
42.000000,3.410000,0.096567,-0.034003
43.000000,3.490000,0.078744,-0.035278
44.000000,3.580000,0.044371,-0.027632
45.000000,3.650000,0.012544,-0.019986
46.000000,3.740000,-0.032014,-0.014889
47.000000,3.820000,-0.066387,-0.002146
48.000000,3.900000,-0.086757,0.024614
49.000000,3.980000,-0.104580,0.036082
50.000000,4.060000,-0.109672,0.042454
51.000000,4.140000,-0.091849,0.050100
52.000000,4.220000,-0.066387,0.043728
53.000000,4.310000,-0.040926,0.038631
54.000000,4.390000,-0.002733,0.032260
55.000000,4.470000,0.039278,0.010597
56.000000,4.550000,0.071105,-0.004695
57.000000,4.630000,0.099113,-0.018712
58.000000,4.710000,0.108025,-0.025083
59.000000,4.790000,0.099113,-0.031455
60.000000,4.870000,0.078744,-0.037826
61.000000,4.960000,0.050736,-0.031455
62.000000,5.040000,0.013817,-0.022535
63.000000,5.120000,-0.030741,-0.011066
64.000000,5.200000,-0.065114,0.001677
65.000000,5.280000,-0.093122,0.018242
66.000000,5.360000,-0.109672,0.037357
67.000000,5.440000,-0.104580,0.045002
68.000000,5.530000,-0.091849,0.046277
69.000000,5.610000,-0.072753,0.042454
70.000000,5.690000,-0.037106,0.039905
71.000000,5.770000,-0.005279,0.032260
72.000000,5.850000,0.031640,0.015694
73.000000,5.940000,0.074925,0.001677
74.000000,6.010000,0.092748,-0.016163
75.000000,6.100000,0.102933,-0.031455
76.000000,6.180000,0.100386,-0.031455
77.000000,6.260000,0.081290,-0.031455
78.000000,6.340000,0.054555,-0.031455
79.000000,6.420000,0.015090,-0.026358
80.000000,6.500000,-0.026922,-0.009792
81.000000,6.590000,-0.065114,-0.003420
82.000000,6.670000,-0.093122,0.015694
83.000000,6.750000,-0.110945,0.033534
84.000000,6.830000,-0.104580,0.045002
85.000000,6.910000,-0.094395,0.048825
86.000000,6.990000,-0.071480,0.043728
87.000000,7.080000,-0.039653,0.045002
88.000000,7.160000,-0.009099,0.029711
89.000000,7.240000,0.035459,0.018242
90.000000,7.320000,0.072379,0.001677
91.000000,7.400000,0.090202,-0.017438
92.000000,7.490000,0.110571,-0.026358
93.000000,7.570000,0.099113,-0.031455
94.000000,7.650000,0.085109,-0.035278
95.000000,7.730000,0.049463,-0.028906
96.000000,7.810000,0.013817,-0.025083
97.000000,7.890000,-0.020556,-0.009792
98.000000,7.970000,-0.057476,0.001677
99.000000,8.050000,-0.082937,0.024614
100.000000,8.130000,-0.108399,0.032260
101.000000,8.210000,-0.113491,0.034808
102.000000,8.290000,-0.103307,0.046277
103.000000,8.370000,-0.076572,0.043728
104.000000,8.450000,-0.046018,0.042454
105.000000,8.530000,-0.010372,0.034808
106.000000,8.610000,0.027821,0.023340
107.000000,8.700000,0.063467,-0.000872
108.000000,8.780000,0.092748,-0.014889
109.000000,8.860000,0.106752,-0.027632
110.000000,8.940000,0.096567,-0.035278
111.000000,9.020000,0.090202,-0.037826
112.000000,9.100000,0.059648,-0.032729
113.000000,9.180000,0.024001,-0.023809
114.000000,9.270000,-0.016737,-0.016163
115.000000,9.350000,-0.056203,-0.003420
116.000000,9.430000,-0.086757,0.013145
117.000000,9.510000,-0.103307,0.032260
118.000000,9.590000,-0.110945,0.043728
119.000000,9.670000,-0.108399,0.043728
120.000000,9.750000,-0.085483,0.045002
121.000000,9.830000,-0.046018,0.045002
122.000000,9.910000,-0.019283,0.029711
123.000000,9.990000,0.021455,0.018242
124.000000,10.070000,0.060921,0.002951
125.000000,10.160000,0.086382,-0.012340
126.000000,10.240000,0.101659,-0.026358
127.000000,10.320000,0.108025,-0.032729
128.000000,10.400000,0.091475,-0.041649
129.000000,10.480000,0.066013,-0.031455
130.000000,10.560000,0.024001,-0.026358
131.000000,10.640000,-0.009099,-0.011066
132.000000,10.730000,-0.049837,-0.005969
133.000000,10.810000,-0.086757,0.013145
134.000000,10.890000,-0.104580,0.029711
135.000000,10.970000,-0.113491,0.033534
136.000000,11.050000,-0.105853,0.043728
137.000000,11.130000,-0.084210,0.043728
138.000000,11.210000,-0.049837,0.043728
139.000000,11.290000,-0.023103,0.036082
140.000000,11.370000,0.017636,0.022065
141.000000,11.450000,0.054555,0.005500
142.000000,11.530000,0.086382,-0.004695
143.000000,11.610000,0.102933,-0.022535
144.000000,11.690000,0.102933,-0.027632
145.000000,11.780000,0.094021,-0.036552
146.000000,11.860000,0.072379,-0.034003
147.000000,11.940000,0.035459,-0.027632
148.000000,12.020000,-0.002733,-0.021260
149.000000,12.100000,-0.038379,-0.005969
150.000000,12.180000,-0.072753,0.009322
151.000000,12.260000,-0.099487,0.028437
152.000000,12.340000,-0.104580,0.034808
153.000000,12.420000,-0.105853,0.043728
154.000000,12.500000,-0.090576,0.046277
155.000000,12.580000,-0.063841,0.045002
156.000000,12.660000,-0.033287,0.038631
157.000000,12.740000,0.011271,0.029711
158.000000,12.820000,0.050736,0.009322
159.000000,12.900000,0.077471,-0.008518
160.000000,12.980000,0.097840,-0.016163
161.000000,13.060000,0.105479,-0.026358
162.000000,13.150000,0.097840,-0.035278
163.000000,13.230000,0.076198,-0.032729
164.000000,13.310000,0.046917,-0.026358
165.000000,13.390000,0.008725,-0.022535
166.000000,13.470000,-0.037106,-0.012340
167.000000,13.550000,-0.071480,0.004225
168.000000,13.630000,-0.093122,0.018242
169.000000,13.710000,-0.107126,0.037357
170.000000,13.790000,-0.113491,0.043728
171.000000,13.870000,-0.093122,0.047551
172.000000,13.950000,-0.068933,0.043728
173.000000,14.030000,-0.039653,0.036082
174.000000,14.110000,0.002359,0.024614
175.000000,14.190000,0.041825,0.018242
176.000000,14.280000,0.074925,0.000402
177.000000,14.360000,0.099113,-0.012340
178.000000,14.440000,0.105479,-0.027632
179.000000,14.520000,0.099113,-0.032729
180.000000,14.600000,0.081290,-0.036552
181.000000,14.680000,0.050736,-0.031455
182.000000,14.760000,0.017636,-0.018712
183.000000,14.850000,-0.023103,-0.009792
184.000000,14.930000,-0.060022,0.002951
185.000000,15.010000,-0.090576,0.015694
186.000000,15.090000,-0.102034,0.038631
187.000000,15.170000,-0.110945,0.039905
188.000000,15.250000,-0.098214,0.045002
189.000000,15.330000,-0.072753,0.048825
190.000000,15.410000,-0.039653,0.042454
191.000000,15.490000,-0.006552,0.033534
192.000000,15.580000,0.030367,0.014420
193.000000,15.660000,0.068559,0.001677
194.000000,15.740000,0.095294,-0.012340
195.000000,15.820000,0.106752,-0.026358
196.000000,15.900000,0.101659,-0.036552
197.000000,15.980000,0.080017,-0.039100
198.000000,16.060000,0.057102,-0.032729
199.000000,16.140000,0.011271,-0.026358
200.000000,16.220000,-0.021829,-0.017438
201.000000,16.300000,-0.056203,0.000402
202.000000,16.390000,-0.084210,0.019517
203.000000,16.470000,-0.102034,0.033534
204.000000,16.550000,-0.104580,0.042454
205.000000,16.630000,-0.104580,0.046277
206.000000,16.710000,-0.081664,0.046277
207.000000,16.790000,-0.049837,0.041180
208.000000,16.870000,-0.016737,0.036082
209.000000,16.950000,0.024001,0.022065
210.000000,17.030000,0.062194,0.004225
211.000000,17.110000,0.091475,-0.012340
212.000000,17.190000,0.102933,-0.025083
213.000000,17.270000,0.102933,-0.036552
214.000000,17.360000,0.090202,-0.036552
215.000000,17.440000,0.066013,-0.030180
216.000000,17.520000,0.024001,-0.026358
217.000000,17.600000,-0.010372,-0.016163
